order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,delivery_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_risk_flag,total_complaints,avg_resolution_days,avg_compensation
o00001,c0292,passenger,2024-08-20 14:43:00,6,airport,south,medium,126.65,app,0,dl00937,d047,v090,h01,2024-08-20 16:29:00,2024-08-20 18:52:56.172161,ontime,26.65,2,0,4.29,15.82,1,0.0,0.0,0.0
o00003,c0161,passenger,2025-09-02 14:37:00,4,west,airport,high,33.5,phone,0,dl00925,d041,v100,h02,2025-09-02 16:59:00,2025-09-03 01:50:39.644673,delayed,13.04,2,0,3.7,13.16,1,1.0,2.0,8.66
o00004,c0520,parcel,2025-01-11 17:15:00,2,riverside,north,medium,10.04,app,1,dl00002,d138,v007,h02,2025-01-11 18:45:00,2025-01-11 17:39:00.000000,ontime,10.34,1,0,5.0,13.41,1,0.0,0.0,0.0
o00005,c0558,retail,2025-02-17 19:32:00,12,riverside,south,low,125.58,phone,0,dl00671,d054,v073,h03,2025-02-17 20:23:00,2025-02-18 08:05:00.047082,ontime,16.01,1,0,4.38,13.53,1,1.0,8.0,54.41
o00007,c0001,business,2024-05-05 21:32:00,2,central,airport,low,76.12,app,0,dl00120,d128,v047,h06,2024-05-05 22:10:00,2024-05-06 07:05:17.555250,delayed,9.07,1,1,3.93,9.76,1,1.0,22.0,43.9
o00008,c0157,parcel,2024-04-03 17:54:00,4,riverside,riverside,medium,35.06,phone,0,dl00201,d036,v041,h03,2024-04-03 20:22:00,2024-04-03 20:46:56.611810,ontime,14.08,0,0,5.0,12.87,1,1.0,8.0,15.77
o00009,c0141,retail,2024-10-03 23:49:00,12,north,east,critical,78.93,app,0,dl00042,d146,v020,h01,2024-10-04 01:05:00,2024-10-04 10:49:54.333414,ontime,12.02,0,0,4.45,11.41,1,0.0,0.0,0.0
o00010,c0171,retail,2025-01-29 00:42:00,6,south,north,low,34.55,phone,0,dl00032,d045,v010,h08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,ontime,15.58,1,0,4.23,13.75,1,0.0,0.0,0.0
o00012,c0567,business,2024-01-16 12:45:00,12,east,airport,medium,135.67,app,0,dl00606,d075,v112,h04,2024-01-16 13:32:00,2024-01-16 23:32:34.302064,ontime,13.39,0,0,4.12,13.11,1,1.0,13.0,22.73
o00013,c0234,retail,2024-03-29 22:11:00,24,airport,central,medium,302.7,app,0,dl00236,d163,v009,h07,2024-03-29 22:48:00,2024-03-30 20:39:02.394303,ontime,20.12,2,0,3.74,17.02,1,1.0,10.0,0.0
o00014,c0318,passenger,2024-08-25 10:12:00,6,ctr,ctr,low,90.96,phone,0,dl00441,d141,v068,h01,2024-08-25 12:01:00,2024-08-25 15:01:44.356021,ontime,8.82,0,0,4.7,7.36,1,0.0,0.0,0.0
o00015,c0300,business,2025-11-09 03:04:00,6,south,east,high,145.58,web,0,dl00804,d052,v097,h03,2025-11-09 05:43:00,2025-11-09 09:20:46.099682,ontime,9.3,1,0,3.94,9.13,1,0.0,0.0,0.0
o00016,c0022,parcel,2025-07-29 11:51:00,6,central,ctr,medium,92.66,app,0,dl00660,d008,v001,h02,2025-07-29 13:52:00,2025-07-29 17:01:03.042495,ontime,16.1,2,0,3.36,14.03,1,0.0,0.0,0.0
o00017,c0499,parcel,2025-05-27 09:12:00,24,airport,south,low,60.9,app,0,dl00672,d108,v030,h02,2025-05-27 11:38:00,2025-05-28 08:21:51.612170,ontime,35.33,5,0,4.94,19.77,1,0.0,0.0,0.0
o00018,c0506,passenger,2024-03-08 22:19:00,6,north,riverside,high,121.11,phone,0,dl00902,d015,v047,h06,2024-03-08 23:03:00,2024-03-09 02:59:39.833152,ontime,17.27,0,0,5.0,12.37,1,0.0,0.0,0.0
